"ID","NOMBRE1","NOMBRE2","APELLIDO1","APELLIDO2","NACIONALIDAD","DIAN","MESN","AÑON","TELEFONO","CORREO"
"2","Ana","López","Morales","","Española","23","12","1990","6009876543","ana.lopez90@email.com"
"3","Pedro","Fernández","Ruiz","","Argentina","7","7","1982","1122345678","pedro.fernandez82@email.com"
"4","Sofía","Gómez","Sánchez","","Chilena","30","1","1995","912345678","sofia.gomez95@email.com"
"5","Carlos","Molina","Martínez","","Colombiana","19","3","1978","3157654321","carlos.molina78@email.com"
"6","María","Hernández","Núñez","","Peruana","12","10","1989","9998765432","maria.hernandez89@email.com"
"7","José","Martínez","Rodríguez","","Brasileña","5","8","1983","2139876543","jose.martinez83@email.com"
"8","Lucía","Silva","Alonso","","Uruguaya","27","4","1992","940123456","lucia.silva92@email.com"
"9","Daniel","Ramírez","Vargas","","Venezolana","1","11","1987","4142345678","daniel.ramirez87@email.com"
"10","Laura","Torres","Castro","","Costarricense","9","6","1993","5068765432","laura.torres93@email.com"
"1725164412183","Alan","","Uriel","fhdj","mexicano","5","15","2003","362482376","jdhvufdh@gmail.com"
"1","Juana","Pérez","García","Luna","Peruana","15","5","1985","5551234567","juan.perez85@email.com"
"1725308966577","caradewebo","caradehongo","amlo","lopez","mexicano","54","12","1598","5555555555","mamahuevo@hotmail.com"
